angle,sin,cos
12d,12c,3ffd
12e,12d,3ffd
12f,12e,3ffd
130,12f,3ffd
131,130,3ffd
132,131,3ffd
133,132,3ffd
134,133,3ffd
135,134,3ffd
136,135,3ffd
137,136,3ffd
138,137,3ffd
139,138,3ffd
13a,139,3ffc
13b,13a,3ffc
13c,13b,3ffc
13d,13c,3ffc
13e,13d,3ffc
13f,13e,3ffc
140,13f,3ffc
141,140,3ffc
142,141,3ffc
143,142,3ffc
144,143,3ffc
145,144,3ffc
146,145,3ffc
147,146,3ffc
148,147,3ffc
149,148,3ffc
14a,149,3ffc
14b,14a,3ffc
14c,14b,3ffc
14d,14c,3ffc
14e,14d,3ffc
14f,14e,3ffc
150,14f,3ffc
151,150,3ffc
152,151,3ffc
153,152,3ffc
154,153,3ffc
155,154,3ffc
156,155,3ffc
157,156,3ffc
158,157,3ffc
159,158,3ffc
15a,159,3ffc
15b,15a,3ffc
15c,15b,3ffc
15d,15c,3ffc
15e,15d,3ffc
15f,15e,3ffc
160,15f,3ffc
161,160,3ffc
162,161,3ffc
163,162,3ffc
164,163,3ffc
165,164,3ffc
166,165,3ffc
167,166,3ffc
168,167,3ffc
169,168,3ffc
16a,169,3ffc
16b,16a,3ffb
16c,16b,3ffb
16d,16c,3ffb
16e,16d,3ffb
16f,16e,3ffb
170,16f,3ffb
171,170,3ffb
172,171,3ffb
173,172,3ffb
174,173,3ffb
175,174,3ffb
176,175,3ffb
177,176,3ffb
178,177,3ffb
179,178,3ffb
17a,179,3ffb
17b,17a,3ffb
17c,17b,3ffb
17d,17c,3ffb
17e,17d,3ffb
17f,17e,3ffb
180,17f,3ffb
181,180,3ffb
182,181,3ffb
183,182,3ffb
184,183,3ffb
185,184,3ffb
186,185,3ffb
187,186,3ffb
188,187,3ffb
189,188,3ffb
18a,189,3ffb
18b,18a,3ffb
18c,18b,3ffb
18d,18c,3ffb
18e,18d,3ffb
18f,18e,3ffb
190,18f,3ffb
191,190,3ffb
192,191,3ffb
193,192,3ffb
194,193,3ffb
195,194,3ffa
196,195,3ffa
197,196,3ffa
198,197,3ffa
199,198,3ffa
19a,199,3ffa
19b,19a,3ffa
19c,19b,3ffa
19d,19c,3ffa
19e,19d,3ffa
19f,19e,3ffa
1a0,19f,3ffa
1a1,1a0,3ffa
1a2,1a1,3ffa
1a3,1a2,3ffa
1a4,1a3,3ffa
1a5,1a4,3ffa
1a6,1a5,3ffa
1a7,1a6,3ffa
1a8,1a7,3ffa
1a9,1a8,3ffa
1aa,1a9,3ffa
1ab,1aa,3ffa
1ac,1ab,3ffa
1ad,1ac,3ffa
1ae,1ad,3ffa
1af,1ae,3ffa
1b0,1af,3ffa
1b1,1b0,3ffa
1b2,1b1,3ffa
1b3,1b2,3ffa
1b4,1b3,3ffa
1b5,1b4,3ffa
1b6,1b5,3ffa
1b7,1b6,3ffa
1b8,1b7,3ffa
1b9,1b8,3ffa
1ba,1b9,3ffa
1bb,1ba,3ffa
1bc,1bb,3ff9
1bd,1bc,3ff9
1be,1bd,3ff9
1bf,1be,3ff9
1c0,1bf,3ff9
1c1,1c0,3ff9
1c2,1c1,3ff9
1c3,1c2,3ff9
1c4,1c3,3ff9
1c5,1c4,3ff9
1c6,1c5,3ff9
1c7,1c6,3ff9
1c8,1c7,3ff9
1c9,1c8,3ff9
1ca,1c9,3ff9
1cb,1ca,3ff9
1cc,1cb,3ff9
1cd,1cc,3ff9
1ce,1cd,3ff9
1cf,1ce,3ff9
1d0,1cf,3ff9
1d1,1d0,3ff9
1d2,1d1,3ff9
1d3,1d2,3ff9
1d4,1d3,3ff9
1d5,1d4,3ff9
1d6,1d5,3ff9
1d7,1d6,3ff9
1d8,1d7,3ff9
1d9,1d8,3ff9
1da,1d9,3ff9
1db,1da,3ff9
1dc,1db,3ff9
1dd,1dc,3ff9
1de,1dd,3ff9
1df,1de,3ff8
1e0,1df,3ff8
1e1,1e0,3ff8
1e2,1e1,3ff8
1e3,1e2,3ff8
1e4,1e3,3ff8
1e5,1e4,3ff8
1e6,1e5,3ff8
1e7,1e6,3ff8
1e8,1e7,3ff8
1e9,1e8,3ff8
1ea,1e9,3ff8
1eb,1ea,3ff8
1ec,1eb,3ff8
1ed,1ec,3ff8
1ee,1ed,3ff8
1ef,1ee,3ff8
1f0,1ef,3ff8
1f1,1f0,3ff8
1f2,1f1,3ff8
1f3,1f2,3ff8
1f4,1f3,3ff8
1f5,1f4,3ff8
1f6,1f5,3ff8
1f7,1f6,3ff8
1f8,1f7,3ff8
1f9,1f8,3ff8
1fa,1f9,3ff8
1fb,1fa,3ff8
1fc,1fb,3ff8
1fd,1fc,3ff8
1fe,1fd,3ff8
1ff,1fe,3ff8
200,1ff,3ff8
201,200,3ff7
202,201,3ff7
203,202,3ff7
204,203,3ff7
205,204,3ff7
206,205,3ff7
207,206,3ff7
208,207,3ff7
209,208,3ff7
20a,209,3ff7
20b,20a,3ff7
20c,20b,3ff7
20d,20c,3ff7
20e,20d,3ff7
20f,20e,3ff7
210,20f,3ff7
211,210,3ff7
212,211,3ff7
213,212,3ff7
214,213,3ff7
215,214,3ff7
216,215,3ff7
217,216,3ff7
218,217,3ff7
219,218,3ff7
21a,219,3ff7
21b,21a,3ff7
21c,21b,3ff7
21d,21c,3ff7
21e,21d,3ff7
21f,21e,3ff7
220,21f,3ff6
221,220,3ff6
222,221,3ff6
223,222,3ff6
224,223,3ff6
225,224,3ff6
226,225,3ff6
227,226,3ff6
228,227,3ff6
229,228,3ff6
22a,229,3ff6
22b,22a,3ff6
22c,22b,3ff6
22d,22c,3ff6
22e,22d,3ff6
22f,22e,3ff6
230,22f,3ff6
231,230,3ff6
232,231,3ff6
233,232,3ff6
234,233,3ff6
235,234,3ff6
236,235,3ff6
237,236,3ff6
238,237,3ff6
239,238,3ff6
23a,239,3ff6
23b,23a,3ff6
23c,23b,3ff6
23d,23c,3ff5
23e,23d,3ff5
23f,23e,3ff5
240,23f,3ff5
241,240,3ff5
242,241,3ff5
243,242,3ff5
244,243,3ff5
245,244,3ff5
246,245,3ff5
247,246,3ff5
248,247,3ff5
249,248,3ff5
24a,249,3ff5
24b,24a,3ff5
24c,24b,3ff5
24d,24c,3ff5
24e,24d,3ff5
24f,24e,3ff5
250,24f,3ff5
251,250,3ff5
252,251,3ff5
253,252,3ff5
254,253,3ff5
255,254,3ff5
256,255,3ff5
257,256,3ff5
258,257,3ff5
259,258,3ff4
25a,259,3ff4
25b,25a,3ff4
25c,25b,3ff4
25d,25c,3ff4
25e,25d,3ff4
25f,25e,3ff4
260,25f,3ff4
261,260,3ff4
262,261,3ff4
263,262,3ff4
264,263,3ff4
265,264,3ff4
266,265,3ff4
267,266,3ff4
268,267,3ff4
269,268,3ff4
26a,269,3ff4
26b,26a,3ff4
26c,26b,3ff4
26d,26c,3ff4
26e,26d,3ff4
26f,26e,3ff4
270,26f,3ff4
271,270,3ff4
272,271,3ff4
273,272,3ff4
274,273,3ff3
275,274,3ff3
276,275,3ff3
277,276,3ff3
278,277,3ff3
279,278,3ff3
27a,279,3ff3
27b,27a,3ff3
27c,27b,3ff3
27d,27c,3ff3
27e,27d,3ff3
27f,27e,3ff3
280,27f,3ff3
281,280,3ff3
282,281,3ff3
283,282,3ff3
284,283,3ff3
285,284,3ff3
286,285,3ff3
287,286,3ff3
288,287,3ff3
289,288,3ff3
28a,289,3ff3
28b,28a,3ff3
28c,28b,3ff3
28d,28c,3ff2
28e,28d,3ff2
28f,28e,3ff2
290,28f,3ff2
291,290,3ff2
292,291,3ff2
293,292,3ff2
294,293,3ff2
295,294,3ff2
296,295,3ff2
297,296,3ff2
298,297,3ff2
299,298,3ff2
29a,299,3ff2
29b,29a,3ff2
29c,29b,3ff2
29d,29c,3ff2
29e,29d,3ff2
29f,29e,3ff2
2a0,29f,3ff2
2a1,2a0,3ff2
2a2,2a1,3ff2
2a3,2a2,3ff2
2a4,2a3,3ff2
2a5,2a4,3ff2
2a6,2a5,3ff1
2a7,2a6,3ff1
2a8,2a7,3ff1
2a9,2a8,3ff1
2aa,2a9,3ff1
2ab,2aa,3ff1
2ac,2ab,3ff1
2ad,2ac,3ff1
2ae,2ad,3ff1
2af,2ae,3ff1
2b0,2af,3ff1
2b1,2b0,3ff1
2b2,2b1,3ff1
2b3,2b2,3ff1
2b4,2b3,3ff1
2b5,2b4,3ff1
2b6,2b5,3ff1
2b7,2b6,3ff1
2b8,2b7,3ff1
2b9,2b8,3ff1
2ba,2b9,3ff1
2bb,2ba,3ff1
2bc,2bb,3ff1
2bd,2bc,3ff1
2be,2bd,3ff0
2bf,2be,3ff0
2c0,2bf,3ff0
2c1,2c0,3ff0
2c2,2c1,3ff0
2c3,2c2,3ff0
2c4,2c3,3ff0
2c5,2c4,3ff0
2c6,2c5,3ff0
2c7,2c6,3ff0
2c8,2c7,3ff0
2c9,2c8,3ff0
2ca,2c9,3ff0
2cb,2ca,3ff0
2cc,2cb,3ff0
2cd,2cc,3ff0
2ce,2cd,3ff0
2cf,2ce,3ff0
2d0,2cf,3ff0
2d1,2d0,3ff0
2d2,2d1,3ff0
2d3,2d2,3ff0
2d4,2d3,3ff0
2d5,2d4,3fef
2d6,2d5,3fef
2d7,2d6,3fef
2d8,2d7,3fef
2d9,2d8,3fef
2da,2d9,3fef
2db,2da,3fef
2dc,2db,3fef
2dd,2dc,3fef
2de,2dd,3fef
2df,2de,3fef
2e0,2df,3fef
2e1,2e0,3fef
2e2,2e1,3fef
2e3,2e2,3fef
2e4,2e3,3fef
2e5,2e4,3fef
2e6,2e5,3fef
2e7,2e6,3fef
2e8,2e7,3fef
2e9,2e8,3fef
2ea,2e9,3fef
2eb,2ea,3fee
2ec,2eb,3fee
2ed,2ec,3fee
2ee,2ed,3fee
2ef,2ee,3fee
2f0,2ef,3fee
2f1,2f0,3fee
2f2,2f1,3fee
2f3,2f2,3fee
2f4,2f3,3fee
2f5,2f4,3fee
2f6,2f5,3fee
2f7,2f6,3fee
2f8,2f7,3fee
2f9,2f8,3fee
2fa,2f9,3fee
2fb,2fa,3fee
2fc,2fb,3fee
2fd,2fc,3fee
2fe,2fd,3fee
2ff,2fe,3fee
300,2ff,3fee
301,300,3fed
302,301,3fed
303,302,3fed
304,303,3fed
305,304,3fed
306,305,3fed
307,306,3fed
308,307,3fed
309,308,3fed
30a,309,3fed
30b,30a,3fed
30c,30b,3fed
30d,30c,3fed
30e,30d,3fed
30f,30e,3fed
310,30f,3fed
311,310,3fed
312,311,3fed
313,312,3fed
314,313,3fed
315,314,3fed
316,315,3fec
317,316,3fec
318,317,3fec
319,318,3fec
31a,319,3fec
31b,31a,3fec
31c,31b,3fec
31d,31c,3fec
31e,31d,3fec
31f,31e,3fec
320,31f,3fec
321,320,3fec
322,321,3fec
323,322,3fec
324,323,3fec
325,324,3fec
326,325,3fec
327,326,3fec
328,327,3fec
329,328,3fec
32a,329,3feb
32b,32a,3feb
32c,32b,3feb
32d,32c,3feb
32e,32d,3feb
32f,32e,3feb
330,32f,3feb
331,330,3feb
332,331,3feb
333,332,3feb
334,333,3feb
335,334,3feb
336,335,3feb
337,336,3feb
338,337,3feb
339,338,3feb
33a,339,3feb
33b,33a,3feb
33c,33b,3feb
33d,33c,3feb
33e,33d,3fea
33f,33e,3fea
340,33f,3fea
341,340,3fea
342,341,3fea
343,342,3fea
344,343,3fea
345,344,3fea
346,345,3fea
347,346,3fea
348,347,3fea
349,348,3fea
34a,349,3fea
34b,34a,3fea
34c,34b,3fea
34d,34c,3fea
34e,34d,3fea
34f,34e,3fea
350,34f,3fea
351,350,3fea
352,351,3fe9
353,352,3fe9
354,353,3fe9
355,354,3fe9
356,355,3fe9
357,356,3fe9
358,357,3fe9
359,358,3fe9
35a,359,3fe9
35b,35a,3fe9
35c,35b,3fe9
35d,35c,3fe9
35e,35d,3fe9
35f,35e,3fe9
360,35f,3fe9
361,360,3fe9
362,361,3fe9
363,362,3fe9
364,363,3fe9
365,364,3fe8
366,365,3fe8
367,366,3fe8
368,367,3fe8
369,368,3fe8
36a,369,3fe8
36b,36a,3fe8
36c,36b,3fe8
36d,36c,3fe8
36e,36d,3fe8
36f,36e,3fe8
370,36f,3fe8
371,370,3fe8
372,371,3fe8
373,372,3fe8
374,373,3fe8
375,374,3fe8
376,375,3fe8
377,376,3fe7
378,377,3fe7
379,378,3fe7
37a,379,3fe7
37b,37a,3fe7
37c,37b,3fe7
37d,37c,3fe7
37e,37d,3fe7
37f,37e,3fe7
380,37f,3fe7
381,380,3fe7
382,381,3fe7
383,382,3fe7
384,383,3fe7
385,384,3fe7
386,385,3fe7
387,386,3fe7
388,387,3fe7
389,388,3fe7
38a,389,3fe6
38b,38a,3fe6
38c,38b,3fe6
38d,38c,3fe6
38e,38d,3fe6
38f,38e,3fe6
390,38f,3fe6
391,390,3fe6
392,391,3fe6
393,392,3fe6
394,393,3fe6
395,394,3fe6
396,395,3fe6
397,396,3fe6
398,397,3fe6
399,398,3fe6
39a,399,3fe6
39b,39a,3fe6
39c,39b,3fe5
39d,39c,3fe5
39e,39d,3fe5
39f,39e,3fe5
3a0,39f,3fe5
3a1,3a0,3fe5
3a2,3a1,3fe5
3a3,3a2,3fe5
3a4,3a3,3fe5
3a5,3a4,3fe5
3a6,3a5,3fe5
3a7,3a6,3fe5
3a8,3a7,3fe5
3a9,3a8,3fe5
3aa,3a9,3fe5
3ab,3aa,3fe5
3ac,3ab,3fe5
3ad,3ac,3fe4
3ae,3ad,3fe4
3af,3ae,3fe4
3b0,3af,3fe4
3b1,3b0,3fe4
3b2,3b1,3fe4
3b3,3b2,3fe4
3b4,3b3,3fe4
3b5,3b4,3fe4
3b6,3b5,3fe4
3b7,3b6,3fe4
3b8,3b7,3fe4
3b9,3b8,3fe4
3ba,3b9,3fe4
3bb,3ba,3fe4
3bc,3bb,3fe4
3bd,3bc,3fe4
3be,3bd,3fe4
3bf,3be,3fe3
3c0,3bf,3fe3
3c1,3c0,3fe3
3c2,3c1,3fe3
3c3,3c2,3fe3
3c4,3c3,3fe3
3c5,3c4,3fe3
3c6,3c5,3fe3
3c7,3c6,3fe3
3c8,3c7,3fe3
3c9,3c8,3fe3
3ca,3c9,3fe3
3cb,3ca,3fe3
3cc,3cb,3fe3
3cd,3cc,3fe3
3ce,3cd,3fe3
3cf,3ce,3fe2
3d0,3cf,3fe2
3d1,3d0,3fe2
3d2,3d1,3fe2
3d3,3d2,3fe2
3d4,3d3,3fe2
3d5,3d4,3fe2
3d6,3d5,3fe2
3d7,3d6,3fe2
3d8,3d7,3fe2
3d9,3d8,3fe2
3da,3d9,3fe2
3db,3da,3fe2
3dc,3db,3fe2
3dd,3dc,3fe2
3de,3dd,3fe2
3df,3de,3fe2
3e0,3df,3fe1
3e1,3e0,3fe1
3e2,3e1,3fe1
3e3,3e2,3fe1
3e4,3e3,3fe1
3e5,3e4,3fe1
3e6,3e5,3fe1
3e7,3e6,3fe1
3e8,3e7,3fe1
3e9,3e8,3fe1
3ea,3e9,3fe1
3eb,3ea,3fe1
3ec,3eb,3fe1
3ed,3ec,3fe1
3ee,3ed,3fe1
3ef,3ee,3fe1
3f0,3ef,3fe1
3f1,3f0,3fe0
3f2,3f1,3fe0
3f3,3f2,3fe0
3f4,3f3,3fe0
3f5,3f4,3fe0
3f6,3f5,3fe0
3f7,3f6,3fe0
3f8,3f7,3fe0
3f9,3f8,3fe0
3fa,3f9,3fe0
3fb,3fa,3fe0
3fc,3fb,3fe0
3fd,3fc,3fe0
3fe,3fd,3fe0
3ff,3fe,3fe0
400,3ff,3fe0
401,400,3fdf
402,401,3fdf
403,402,3fdf
404,403,3fdf
405,404,3fdf
406,405,3fdf
407,406,3fdf
408,407,3fdf
409,408,3fdf
40a,409,3fdf
40b,40a,3fdf
40c,40b,3fdf
40d,40c,3fdf
40e,40d,3fdf
40f,40e,3fdf
410,40f,3fdf
411,410,3fde
412,411,3fde
413,412,3fde
414,413,3fde
415,414,3fde
416,415,3fde
417,416,3fde
418,417,3fde
419,418,3fde
41a,419,3fde
41b,41a,3fde
41c,41b,3fde
41d,41c,3fde
41e,41d,3fde
41f,41e,3fde
420,41f,3fdd
421,420,3fdd
422,421,3fdd
423,422,3fdd
424,423,3fdd
425,424,3fdd
426,425,3fdd
427,426,3fdd
428,427,3fdd
429,428,3fdd
42a,429,3fdd
42b,42a,3fdd
42c,42b,3fdd
42d,42c,3fdd
42e,42d,3fdd
42f,42e,3fdd
430,42f,3fdc
431,430,3fdc
432,431,3fdc
433,432,3fdc
434,433,3fdc
435,434,3fdc
436,435,3fdc
437,436,3fdc
438,437,3fdc
439,438,3fdc
43a,439,3fdc
43b,43a,3fdc
43c,43b,3fdc
43d,43c,3fdc
43e,43d,3fdc
43f,43e,3fdb
440,43f,3fdb
441,440,3fdb
442,441,3fdb
443,442,3fdb
444,443,3fdb
445,444,3fdb
446,445,3fdb
447,446,3fdb
448,447,3fdb
449,448,3fdb
44a,449,3fdb
44b,44a,3fdb
44c,44b,3fdb
44d,44c,3fdb
44e,44d,3fda
44f,44e,3fda
450,44f,3fda
451,450,3fda
452,451,3fda
453,452,3fda
454,453,3fda
455,454,3fda
456,455,3fda
457,456,3fda
458,457,3fda
459,458,3fda
45a,459,3fda
45b,45a,3fda
45c,45b,3fda
45d,45c,3fd9
45e,45d,3fd9
45f,45e,3fd9
460,45f,3fd9
461,460,3fd9
462,461,3fd9
463,462,3fd9
464,463,3fd9
465,464,3fd9
466,465,3fd9
467,466,3fd9
468,467,3fd9
469,468,3fd9
46a,469,3fd9
46b,46a,3fd8
46c,46b,3fd8
46d,46c,3fd8
46e,46d,3fd8
46f,46e,3fd8
470,46f,3fd8
471,470,3fd8
472,471,3fd8
473,472,3fd8
474,473,3fd8
475,474,3fd8
476,475,3fd8
477,476,3fd8
478,477,3fd8
479,478,3fd8
47a,479,3fd7
47b,47a,3fd7
47c,47b,3fd7
47d,47c,3fd7
47e,47d,3fd7
47f,47e,3fd7
480,47f,3fd7
481,480,3fd7
482,481,3fd7
483,482,3fd7
484,483,3fd7
485,484,3fd7
486,485,3fd7
487,486,3fd7
488,487,3fd6
489,488,3fd6
48a,489,3fd6
48b,48a,3fd6
48c,48b,3fd6
48d,48c,3fd6
48e,48d,3fd6
48f,48e,3fd6
490,48f,3fd6
491,490,3fd6
492,491,3fd6
493,492,3fd6
494,493,3fd6
495,493,3fd6
496,494,3fd5
497,495,3fd5
498,496,3fd5
499,497,3fd5
49a,498,3fd5
49b,499,3fd5
49c,49a,3fd5
49d,49b,3fd5
49e,49c,3fd5
49f,49d,3fd5
4a0,49e,3fd5
4a1,49f,3fd5
4a2,4a0,3fd5
4a3,4a1,3fd5
4a4,4a2,3fd4
4a5,4a3,3fd4
4a6,4a4,3fd4
4a7,4a5,3fd4
4a8,4a6,3fd4
4a9,4a7,3fd4
4aa,4a8,3fd4
4ab,4a9,3fd4
4ac,4aa,3fd4
4ad,4ab,3fd4
4ae,4ac,3fd4
4af,4ad,3fd4
4b0,4ae,3fd4
4b1,4af,3fd4
4b2,4b0,3fd3
4b3,4b1,3fd3
4b4,4b2,3fd3
4b5,4b3,3fd3
4b6,4b4,3fd3
4b7,4b5,3fd3
4b8,4b6,3fd3
4b9,4b7,3fd3
4ba,4b8,3fd3
4bb,4b9,3fd3
4bc,4ba,3fd3
4bd,4bb,3fd3
4be,4bc,3fd3
4bf,4bd,3fd2
4c0,4be,3fd2
4c1,4bf,3fd2
4c2,4c0,3fd2
4c3,4c1,3fd2
4c4,4c2,3fd2
4c5,4c3,3fd2
4c6,4c4,3fd2
4c7,4c5,3fd2
4c8,4c6,3fd2
4c9,4c7,3fd2
4ca,4c8,3fd2
4cb,4c9,3fd2
4cc,4ca,3fd2
4cd,4cb,3fd1
4ce,4cc,3fd1
4cf,4cd,3fd1
4d0,4ce,3fd1
4d1,4cf,3fd1
4d2,4d0,3fd1
4d3,4d1,3fd1
4d4,4d2,3fd1
4d5,4d3,3fd1
4d6,4d4,3fd1
4d7,4d5,3fd1
4d8,4d6,3fd1
4d9,4d7,3fd1
4da,4d8,3fd0
4db,4d9,3fd0
4dc,4da,3fd0
4dd,4db,3fd0
4de,4dc,3fd0
4df,4dd,3fd0
4e0,4de,3fd0
4e1,4df,3fd0
4e2,4e0,3fd0
4e3,4e1,3fd0
4e4,4e2,3fd0
4e5,4e3,3fd0
4e6,4e4,3fd0
4e7,4e5,3fcf
4e8,4e6,3fcf
4e9,4e7,3fcf
4ea,4e8,3fcf
4eb,4e9,3fcf
4ec,4ea,3fcf
4ed,4eb,3fcf
4ee,4ec,3fcf
4ef,4ed,3fcf
4f0,4ee,3fcf
4f1,4ef,3fcf
4f2,4f0,3fcf
4f3,4f1,3fcf
4f4,4f2,3fce
4f5,4f3,3fce
4f6,4f4,3fce
4f7,4f5,3fce
4f8,4f6,3fce
4f9,4f7,3fce
4fa,4f8,3fce
4fb,4f9,3fce
4fc,4fa,3fce
4fd,4fb,3fce
4fe,4fc,3fce
4ff,4fd,3fce
500,4fe,3fce
501,4ff,3fcd
502,500,3fcd
503,501,3fcd
504,502,3fcd
505,503,3fcd
506,504,3fcd
507,505,3fcd
508,506,3fcd
509,507,3fcd
50a,508,3fcd
50b,509,3fcd
50c,50a,3fcd
50d,50b,3fcd
50e,50c,3fcc
50f,50d,3fcc
510,50e,3fcc
511,50f,3fcc
512,510,3fcc
513,511,3fcc
514,512,3fcc
515,513,3fcc
516,514,3fcc
517,515,3fcc
518,516,3fcc
519,517,3fcc
51a,518,3fcb
51b,519,3fcb
51c,51a,3fcb
51d,51b,3fcb
51e,51c,3fcb
51f,51d,3fcb
520,51e,3fcb
521,51f,3fcb
522,520,3fcb
523,521,3fcb
524,522,3fcb
525,523,3fcb
526,524,3fcb
527,525,3fca
528,526,3fca
529,527,3fca
52a,528,3fca
52b,529,3fca
52c,52a,3fca
52d,52b,3fca
52e,52c,3fca
52f,52d,3fca
530,52e,3fca
531,52f,3fca
532,530,3fca
533,531,3fc9
534,532,3fc9
535,533,3fc9
536,534,3fc9
537,535,3fc9
538,536,3fc9
539,537,3fc9
53a,538,3fc9
