angle,sin,cos
0,0,4000
1,1,3fff
2,2,3fff
3,3,3fff
4,3,3fff
5,5,3fff
6,6,3fff
7,7,3fff
8,8,3fff
9,9,3fff
a,a,3fff
b,b,3fff
c,b,3fff
d,c,3fff
e,d,3fff
f,f,3fff
10,f,3fff
11,11,3fff
12,11,3fff
13,12,3fff
14,13,3fff
15,14,3fff
16,15,3fff
17,16,3fff
18,17,3fff
19,18,3fff
1a,19,3fff
1b,1a,3fff
1c,1b,3fff
1d,1c,3fff
1e,1d,3fff
1f,1e,3fff
20,1f,3fff
21,20,3fff
22,21,3fff
23,22,3fff
24,23,3fff
25,24,3fff
26,25,3fff
27,26,3fff
28,27,3fff
29,28,3fff
2a,29,3fff
2b,2a,3fff
2c,2b,3fff
2d,2c,3fff
2e,2d,3fff
2f,2e,3fff
30,2f,3fff
31,30,3fff
32,31,3fff
33,32,3fff
34,33,3fff
35,34,3fff
36,35,3fff
37,36,3fff
38,37,3fff
39,38,3fff
3a,39,3fff
3b,3a,3fff
3c,3b,3fff
3d,3c,3fff
3e,3d,3fff
3f,3e,3fff
40,3f,3fff
41,40,3fff
42,41,3fff
43,42,3fff
44,43,3fff
45,44,3fff
46,45,3fff
47,46,3fff
48,47,3fff
49,48,3fff
4a,49,3fff
4b,4a,3fff
4c,4b,3fff
4d,4c,3fff
4e,4d,3fff
4f,4e,3fff
50,4f,3fff
51,50,3fff
52,51,3fff
53,52,3fff
54,53,3fff
55,54,3fff
56,55,3fff
57,56,3fff
58,57,3fff
59,58,3fff
5a,59,3fff
5b,5a,3fff
5c,5b,3fff
5d,5c,3fff
5e,5d,3fff
5f,5e,3fff
60,5f,3fff
61,60,3fff
62,61,3fff
63,62,3fff
64,63,3fff
65,64,3fff
66,65,3fff
67,66,3fff
68,67,3fff
69,68,3fff
6a,69,3fff
6b,6a,3fff
6c,6b,3fff
6d,6c,3fff
6e,6d,3fff
6f,6e,3fff
70,6f,3fff
71,70,3fff
72,71,3fff
73,72,3fff
74,73,3fff
75,74,3fff
76,75,3fff
77,76,3fff
78,77,3fff
79,78,3fff
7a,79,3fff
7b,7a,3fff
7c,7b,3fff
7d,7c,3fff
7e,7d,3fff
7f,7e,3fff
80,7f,3fff
81,80,3fff
82,81,3fff
83,82,3fff
84,83,3fff
85,84,3fff
86,85,3fff
87,86,3fff
88,87,3fff
89,88,3fff
8a,89,3fff
8b,8a,3fff
8c,8b,3fff
8d,8c,3fff
8e,8d,3fff
8f,8e,3fff
90,8f,3fff
91,90,3fff
92,91,3fff
93,92,3fff
94,93,3fff
95,94,3fff
96,95,3fff
97,96,3fff
98,97,3fff
99,98,3fff
9a,99,3fff
9b,9a,3fff
9c,9b,3fff
9d,9c,3fff
9e,9d,3fff
9f,9e,3fff
a0,9f,3fff
a1,a0,3fff
a2,a1,3fff
a3,a2,3fff
a4,a3,3fff
a5,a4,3fff
a6,a5,3fff
a7,a6,3fff
a8,a7,3fff
a9,a8,3fff
aa,a9,3fff
ab,aa,3fff
ac,ab,3fff
ad,ac,3fff
ae,ad,3fff
af,ae,3fff
b0,af,3fff
b1,b0,3fff
b2,b1,3fff
b3,b2,3fff
b4,b3,3fff
b5,b4,3fff
b6,b5,3ffe
b7,b6,3ffe
b8,b7,3ffe
b9,b8,3ffe
ba,b9,3ffe
bb,ba,3ffe
bc,bb,3ffe
bd,bc,3ffe
be,bd,3ffe
bf,be,3ffe
c0,bf,3ffe
c1,c0,3ffe
c2,c1,3ffe
c3,c2,3ffe
c4,c3,3ffe
c5,c4,3ffe
c6,c5,3ffe
c7,c6,3ffe
c8,c7,3ffe
c9,c8,3ffe
ca,c9,3ffe
cb,ca,3ffe
cc,cb,3ffe
cd,cc,3ffe
ce,cd,3ffe
cf,ce,3ffe
d0,cf,3ffe
d1,d0,3ffe
d2,d1,3ffe
d3,d2,3ffe
d4,d3,3ffe
d5,d4,3ffe
d6,d5,3ffe
d7,d6,3ffe
d8,d7,3ffe
d9,d8,3ffe
da,d9,3ffe
db,da,3ffe
dc,db,3ffe
dd,dc,3ffe
de,dd,3ffe
df,de,3ffe
e0,df,3ffe
e1,e0,3ffe
e2,e1,3ffe
e3,e2,3ffe
e4,e3,3ffe
e5,e4,3ffe
e6,e5,3ffe
e7,e6,3ffe
e8,e7,3ffe
e9,e8,3ffe
ea,e9,3ffe
eb,ea,3ffe
ec,eb,3ffe
ed,ec,3ffe
ee,ed,3ffe
ef,ee,3ffe
f0,ef,3ffe
f1,f0,3ffe
f2,f1,3ffe
f3,f2,3ffe
f4,f3,3ffe
f5,f4,3ffe
f6,f5,3ffe
f7,f6,3ffe
f8,f7,3ffe
f9,f8,3ffe
fa,f9,3ffe
fb,fa,3ffe
fc,fb,3ffe
fd,fc,3ffe
fe,fd,3ffe
ff,fe,3ffe
100,ff,3ffe
101,100,3ffd
102,101,3ffd
103,102,3ffd
104,103,3ffd
105,104,3ffd
106,105,3ffd
107,106,3ffd
108,107,3ffd
109,108,3ffd
10a,109,3ffd
10b,10a,3ffd
10c,10b,3ffd
10d,10c,3ffd
10e,10d,3ffd
10f,10e,3ffd
110,10f,3ffd
111,110,3ffd
112,111,3ffd
113,112,3ffd
114,113,3ffd
115,114,3ffd
116,115,3ffd
117,116,3ffd
118,117,3ffd
119,118,3ffd
11a,119,3ffd
11b,11a,3ffd
11c,11b,3ffd
11d,11c,3ffd
11e,11d,3ffd
11f,11e,3ffd
120,11f,3ffd
121,120,3ffd
122,121,3ffd
123,122,3ffd
124,123,3ffd
125,124,3ffd
126,125,3ffd
127,126,3ffd
128,127,3ffd
129,128,3ffd
12a,129,3ffd
12b,12a,3ffd
12c,12b,3ffd
