angle,sin,cos
1fbd00,1fbceb,fffe085
1fe410,1fe3fa,fffe037
200b20,200b0a,fffdfe9
203230,20321a,fffdf9b
205940,205929,fffdf4c
208050,208039,fffdefd
20a760,20a749,fffdead
20ce70,20ce59,fffde5d
20f580,20f568,fffde0d
211c90,211c78,fffddbd
2143a0,214388,fffdd6c
216ab0,216a97,fffdd1a
2191c0,2191a7,fffdcc8
21b8d0,21b8b7,fffdc76
21dfe0,21dfc6,fffdc24
2206f0,2206d6,fffdbd1
222e00,222de6,fffdb7e
225510,2254f5,fffdb2a
227c20,227c05,fffdad6
22a330,22a314,fffda82
22ca40,22ca24,fffda2d
22f150,22f134,fffd9d8
231860,231843,fffd982
233f70,233f53,fffd92c
236680,236663,fffd8d6
238d90,238d72,fffd87f
23b4a0,23b482,fffd828
23dbb0,23db91,fffd7d1
2402c0,2402a1,fffd779
2429d0,2429b1,fffd721
2450e0,2450c0,fffd6c9
2477f0,2477d0,fffd670
249f00,249ee0,fffd617
24c610,24c5ef,fffd5bd
24ed20,24ecff,fffd563
251430,25140e,fffd509
253b40,253b1e,fffd4ae
256250,25622d,fffd453
258960,25893d,fffd3f8
25b070,25b04d,fffd39c
25d780,25d75c,fffd340
25fe90,25fe6c,fffd2e3
2625a0,26257b,fffd286
264cb0,264c8b,fffd229
2673c0,26739a,fffd1cb
269ad0,269aaa,fffd16d
26c1e0,26c1ba,fffd10f
26e8f0,26e8c9,fffd0b0
271000,270fd9,fffd051
273710,2736e8,fffcff1
275e20,275df8,fffcf91
278530,278507,fffcf31
27ac40,27ac17,fffced0
27d350,27d326,fffce6f
27fa60,27fa36,fffce0e
282170,282145,fffcdac
284880,284855,fffcd4a
286f90,286f64,fffcce7
2896a0,289674,fffcc84
28bdb0,28bd83,fffcc21
28e4c0,28e493,fffcbbd
290bd0,290ba2,fffcb59
2932e0,2932b2,fffcaf5
2959f0,2959c1,fffca90
298100,2980d1,fffca2b
29a810,29a7e0,fffc9c6
29cf20,29cef0,fffc960
29f630,29f5ff,fffc8f9
2a1d40,2a1d0f,fffc893
2a4450,2a441e,fffc82c
2a6b60,2a6b2e,fffc7c4
2a9270,2a923d,fffc75d
2ab980,2ab94d,fffc6f4
2ae090,2ae05c,fffc68c
2b07a0,2b076c,fffc623
2b2eb0,2b2e7b,fffc5ba
2b55c0,2b558b,fffc550
2b7cd0,2b7c9a,fffc4e6
2ba3e0,2ba3a9,fffc47c
2bcaf0,2bcab9,fffc411
2bf200,2bf1c8,fffc3a6
2c1910,2c18d8,fffc33b
2c4020,2c3fe7,fffc2cf
2c6730,2c66f7,fffc263
2c8e40,2c8e06,fffc1f6
2cb550,2cb515,fffc189
2cdc60,2cdc25,fffc11c
2d0370,2d0334,fffc0ae
