angle,sin,cos
4242e40,41861ec,f778f30
4245550,41887af,f778530
4247c60,418ad72,f777b30
424a370,418d335,f777130
424ca80,418f8f7,f77672f
424f190,4191eba,f775d2e
42518a0,419447c,f77532c
4253fb0,4196a3e,f77492a
42566c0,4199001,f773f28
4258dd0,419b5c3,f773525
425b4e0,419db85,f772b22
425dbf0,41a0147,f77211f
4260300,41a2708,f77171b
4262a10,41a4cca,f770d17
4265120,41a728c,f770313
4267830,41a984d,f76f90e
4269f40,41abe0f,f76ef09
426c650,41ae3d0,f76e504
426ed60,41b0991,f76dafe
4271470,41b2f52,f76d0f8
4273b80,41b5513,f76c6f1
4276290,41b7ad4,f76bcea
42789a0,41ba095,f76b2e3
427b0b0,41bc656,f76a8db
427d7c0,41bec16,f769ed3
427fed0,41c11d7,f7694cb
42825e0,41c3797,f768ac2
4284cf0,41c5d58,f7680b9
4287400,41c8318,f7676b0
4289b10,41ca8d8,f766ca6
428c220,41cce98,f76629c
428e930,41cf458,f765891
4291040,41d1a18,f764e86
4293750,41d3fd8,f76447b
4295e60,41d6598,f763a70
4298570,41d8b57,f763064
429ac80,41db117,f762657
429d390,41dd6d6,f761c4b
429faa0,41dfc95,f76123e
42a21b0,41e2255,f760830
42a48c0,41e4814,f75fe23
42a6fd0,41e6dd3,f75f414
42a96e0,41e9392,f75ea06
42abdf0,41eb951,f75dff7
42ae500,41edf0f,f75d5e8
42b0c10,41f04ce,f75cbd8
42b3320,41f2a8c,f75c1c9
42b5a30,41f504b,f75b7b8
42b8140,41f7609,f75ada8
42ba850,41f9bc8,f75a397
42bcf60,41fc186,f759985
42bf670,41fe744,f758f74
42c1d80,4200d02,f758562
42c4490,42032c0,f757b4f
42c6ba0,420587d,f75713c
42c92b0,4207e3b,f756729
42cb9c0,420a3f9,f755d16
42ce0d0,420c9b6,f755302
42d07e0,420ef73,f7548ee
42d2ef0,4211531,f753ed9
42d5600,4213aee,f7534c4
42d7d10,42160ab,f752aaf
42da420,4218668,f752099
42dcb30,421ac25,f751683
42df240,421d1e2,f750c6d
42e1950,421f79e,f750256
42e4060,4221d5b,f74f83f
42e6770,4224318,f74ee27
42e8e80,42268d4,f74e40f
42eb590,4228e90,f74d9f7
42edca0,422b44d,f74cfdf
42f03b0,422da09,f74c5c6
42f2ac0,422ffc5,f74bbad
42f51d0,4232581,f74b193
42f78e0,4234b3d,f74a779
42f9ff0,42370f8,f749d5f
42fc700,42396b4,f749344
42fee10,423bc70,f748929
4301520,423e22b,f747f0d
4303c30,42407e6,f7474f2
4306340,4242da2,f746ad5
4308a50,424535d,f7460b9
430b160,4247918,f74569c
430d870,4249ed3,f744c7f
430ff80,424c48e,f744261
4312690,424ea49,f743843
4314da0,4251003,f742e25
43174b0,42535be,f742406
4319bc0,4255b78,f7419e7
431c2d0,4258133,f740fc8
431e9e0,425a6ed,f7405a8
43210f0,425cca7,f73fb88
4323800,425f261,f73f168
4325f10,426181b,f73e747
4328620,4263dd5,f73dd26
432ad30,426638f,f73d304
432d440,4268949,f73c8e2
432fb50,426af02,f73bec0
4332260,426d4bc,f73b49d
4334970,426fa75,f73aa7a
4337080,427202f,f73a057
4339790,42745e8,f739633
433bea0,4276ba1,f738c0f
433e5b0,427915a,f7381eb
4340cc0,427b713,f7377c6
43433d0,427dccc,f736da1
4345ae0,4280285,f73637b
43481f0,428283d,f735956
434a900,4284df6,f734f2f
434d010,42873ae,f734509
434f720,4289967,f733ae2
4351e30,428bf1f,f7330ba
4354540,428e4d7,f732693
4356c50,4290a8f,f731c6b
4359360,4293047,f731242
435ba70,42955ff,f73081a
435e180,4297bb7,f72fdf1
4360890,429a16f,f72f3c7
4362fa0,429c726,f72e99d
43656b0,429ecde,f72df73
4367dc0,42a1295,f72d549
436a4d0,42a384d,f72cb1e
436cbe0,42a5e04,f72c0f2
436f2f0,42a83bb,f72b6c7
4371a00,42aa972,f72ac9b
4374110,42acf29,f72a26f
4376820,42af4e0,f729842
4378f30,42b1a96,f728e15
437b640,42b404d,f7283e7
437dd50,42b6604,f7279ba
4380460,42b8bba,f726f8b
4382b70,42bb170,f72655d
4385280,42bd727,f725b2e
4387990,42bfcdd,f7250ff
438a0a0,42c2293,f7246cf
438c7b0,42c4849,f723c9f
438eec0,42c6dff,f72326f
43915d0,42c93b4,f72283e
4393ce0,42cb96a,f721e0d
43963f0,42cdf1f,f7213dc
4398b00,42d04d5,f7209aa
439b210,42d2a8a,f71ff78
439d920,42d5040,f71f546
43a0030,42d75f5,f71eb13
43a2740,42d9baa,f71e0e0
43a4e50,42dc15f,f71d6ac
43a7560,42de714,f71cc78
43a9c70,42e0cc8,f71c244
43ac380,42e327d,f71b810
43aea90,42e5832,f71addb
43b11a0,42e7de6,f71a3a5
43b38b0,42ea39b,f719970
43b5fc0,42ec94f,f718f3a
43b86d0,42eef03,f718503
43bade0,42f14b7,f717acc
43bd4f0,42f3a6b,f717095
43bfc00,42f601f,f71665e
43c2310,42f85d3,f715c26
43c4a20,42fab87,f7151ee
43c7130,42fd13a,f7147b5
43c9840,42ff6ee,f713d7c
43cbf50,4301ca1,f713343
43ce660,4304254,f712909
43d0d70,4306808,f711ecf
43d3480,4308dbb,f711495
43d5b90,430b36e,f710a5a
43d82a0,430d921,f71001f
43da9b0,430fed4,f70f5e4
43dd0c0,4312486,f70eba8
43df7d0,4314a39,f70e16c
43e1ee0,4316feb,f70d72f
43e45f0,431959e,f70ccf2
43e6d00,431bb50,f70c2b5
43e9410,431e103,f70b878
43ebb20,43206b5,f70ae3a
43ee230,4322c67,f70a3fb
43f0940,4325219,f7099bd
43f3050,43277cb,f708f7e
43f5760,4329d7c,f70853e
43f7e70,432c32e,f707afe
43fa580,432e8e0,f7070be
43fcc90,4330e91,f70667e
43ff3a0,4333442,f705c3d
4401ab0,43359f4,f7051fc
44041c0,4337fa5,f7047ba
44068d0,433a556,f703d78
4408fe0,433cb07,f703336
440b6f0,433f0b8,f7028f3
440de00,4341668,f701eb0
4410510,4343c19,f70146d
4412c20,43461ca,f700a29
4415330,434877a,f6fffe5
4417a40,434ad2b,f6ff5a1
441a150,434d2db,f6feb5c
441c860,434f88b,f6fe117
441ef70,4351e3b,f6fd6d1
4421680,43543eb,f6fcc8c
4423d90,435699b,f6fc245
44264a0,4358f4b,f6fb7ff
4428bb0,435b4fb,f6fadb8
442b2c0,435daaa,f6fa371
442d9d0,436005a,f6f9929
44300e0,4362609,f6f8ee1
44327f0,4364bb8,f6f8499
4434f00,4367168,f6f7a50
4437610,4369717,f6f7007
4439d20,436bcc6,f6f65bd
443c430,436e275,f6f5b73
443eb40,4370823,f6f5129
4441250,4372dd2,f6f46df
4443960,4375381,f6f3c94
4446070,437792f,f6f3249
4448780,4379ede,f6f27fd
444ae90,437c48c,f6f1db1
444d5a0,437ea3a,f6f1365
444fcb0,4380fe8,f6f0918
44523c0,4383597,f6efecb
4454ad0,4385b44,f6ef47d
44571e0,43880f2,f6eea30
44598f0,438a6a0,f6edfe2
445c000,438cc4e,f6ed593
445e710,438f1fb,f6ecb44
4460e20,43917a9,f6ec0f5
4463530,4393d56,f6eb6a5
4465c40,4396303,f6eac56
4468350,43988b0,f6ea205
446aa60,439ae5d,f6e97b5
446d170,439d40a,f6e8d64
446f880,439f9b7,f6e8312
4471f90,43a1f64,f6e78c1
44746a0,43a4511,f6e6e6e
4476db0,43a6abd,f6e641c
44794c0,43a906a,f6e59c9
447bbd0,43ab616,f6e4f76
447e2e0,43adbc2,f6e4523
44809f0,43b016e,f6e3acf
4483100,43b271b,f6e307a
4485810,43b4cc7,f6e2626
4487f20,43b7272,f6e1bd1
448a630,43b981e,f6e117c
448cd40,43bbdca,f6e0726
448f450,43be375,f6dfcd0
4491b60,43c0921,f6df279
4494270,43c2ecc,f6de823
4496980,43c5478,f6dddcc
4499090,43c7a23,f6dd374
449b7a0,43c9fce,f6dc91c
449deb0,43cc579,f6dbec4
44a05c0,43ceb24,f6db46c
44a2cd0,43d10ce,f6daa13
44a53e0,43d3679,f6d9fb9
44a7af0,43d5c24,f6d9560
44aa200,43d81ce,f6d8b06
44ac910,43da779,f6d80ab
44af020,43dcd23,f6d7651
44b1730,43df2cd,f6d6bf6
44b3e40,43e1877,f6d619a
44b6550,43e3e21,f6d573f
44b8c60,43e63cb,f6d4ce2
44bb370,43e8975,f6d4286
44bda80,43eaf1f,f6d3829
44c0190,43ed4c8,f6d2dcc
44c28a0,43efa72,f6d236e
44c4fb0,43f201b,f6d1910
44c76c0,43f45c4,f6d0eb2
44c9dd0,43f6b6e,f6d0453
44cc4e0,43f9117,f6cf9f4
44cebf0,43fb6c0,f6cef95
44d1300,43fdc69,f6ce535
44d3a10,4400211,f6cdad5
44d6120,44027ba,f6cd075
44d8830,4404d63,f6cc614
44daf40,440730b,f6cbbb3
44dd650,44098b4,f6cb151
44dfd60,440be5c,f6ca6ef
44e2470,440e404,f6c9c8d
44e4b80,44109ac,f6c922a
44e7290,4412f54,f6c87c7
44e99a0,44154fc,f6c7d64
44ec0b0,4417aa4,f6c7300
44ee7c0,441a04c,f6c689c
44f0ed0,441c5f3,f6c5e38
44f35e0,441eb9b,f6c53d3
44f5cf0,4421142,f6c496e
44f8400,44236ea,f6c3f09
44fab10,4425c91,f6c34a3
44fd220,4428238,f6c2a3d
44ff930,442a7df,f6c1fd6
4502040,442cd86,f6c156f
4504750,442f32d,f6c0b08
4506e60,44318d3,f6c00a0
4509570,4433e7a,f6bf638
450bc80,4436421,f6bebd0
450e390,44389c7,f6be167
4510aa0,443af6d,f6bd6fe
45131b0,443d514,f6bcc95
45158c0,443faba,f6bc22b
4517fd0,4442060,f6bb7c1
451a6e0,4444606,f6bad56
451cdf0,4446bac,f6ba2eb
451f500,4449151,f6b9880
4521c10,444b6f7,f6b8e15
4524320,444dc9c,f6b83a9
4526a30,4450242,f6b793c
4529140,44527e7,f6b6ed0
452b850,4454d8c,f6b6463
452df60,4457332,f6b59f5
4530670,44598d7,f6b4f88
4532d80,445be7c,f6b451a
4535490,445e420,f6b3aab
4537ba0,44609c5,f6b303c
453a2b0,4462f6a,f6b25cd
453c9c0,446550e,f6b1b5e
453f0d0,4467ab3,f6b10ee
45417e0,446a057,f6b067d
4543ef0,446c5fb,f6afc0d
4546600,446eba0,f6af19c
4548d10,4471144,f6ae72b
454b420,44736e8,f6adcb9
454db30,4475c8b,f6ad247
4550240,447822f,f6ac7d4
4552950,447a7d3,f6abd62
4555060,447cd76,f6ab2ee
4557770,447f31a,f6aa87b
4559e80,44818bd,f6a9e07
455c590,4483e60,f6a9393
455eca0,4486403,f6a891e
45613b0,44889a7,f6a7eaa
4563ac0,448af49,f6a7434
45661d0,448d4ec,f6a69bf
45688e0,448fa8f,f6a5f49
456aff0,4492032,f6a54d2
456d700,44945d4,f6a4a5c
456fe10,4496b77,f6a3fe4
4572520,4499119,f6a356d
4574c30,449b6bb,f6a2af5
4577340,449dc5d,f6a207d
4579a50,44a01ff,f6a1605
457c160,44a27a1,f6a0b8c
457e870,44a4d43,f6a0113
4580f80,44a72e5,f69f699
4583690,44a9887,f69ec1f
4585da0,44abe28,f69e1a5
45884b0,44ae3ca,f69d72a
458abc0,44b096b,f69ccaf
458d2d0,44b2f0c,f69c234
458f9e0,44b54ad,f69b7b8
45920f0,44b7a4e,f69ad3c
4594800,44b9fef,f69a2bf
4596f10,44bc590,f699843
4599620,44beb31,f698dc5
459bd30,44c10d2,f698348
459e440,44c3672,f6978ca
45a0b50,44c5c13,f696e4c
45a3260,44c81b3,f6963cd
45a5970,44ca753,f69594e
45a8080,44cccf3,f694ecf
45aa790,44cf293,f69444f
45acea0,44d1833,f6939cf
45af5b0,44d3dd3,f692f4f
45b1cc0,44d6373,f6924ce
45b43d0,44d8913,f691a4d
45b6ae0,44daeb2,f690fcb
45b91f0,44dd452,f69054a
45bb900,44df9f1,f68fac7
45be010,44e1f90,f68f045
45c0720,44e452f,f68e5c2
45c2e30,44e6ace,f68db3f
45c5540,44e906d,f68d0bb
45c7c50,44eb60c,f68c637
45ca360,44edbab,f68bbb3
45cca70,44f014a,f68b12e
45cf180,44f26e8,f68a6a9
45d1890,44f4c87,f689c24
45d3fa0,44f7225,f68919e
45d66b0,44f97c3,f688718
45d8dc0,44fbd61,f687c91
45db4d0,44fe2ff,f68720a
45ddbe0,450089d,f686783
45e02f0,4502e3b,f685cfb
45e2a00,45053d9,f685274
45e5110,4507977,f6847eb
45e7820,4509f14,f683d63
45e9f30,450c4b2,f6832da
45ec640,450ea4f,f682850
45eed50,4510fec,f681dc6
45f1460,4513589,f68133c
45f3b70,4515b26,f6808b2
45f6280,45180c3,f67fe27
45f8990,451a660,f67f39c
45fb0a0,451cbfd,f67e910
45fd7b0,451f199,f67de85
45ffec0,4521736,f67d3f8
46025d0,4523cd2,f67c96c
4604ce0,452626f,f67bedf
46073f0,452880b,f67b451
4609b00,452ada7,f67a9c4
460c210,452d343,f679f36
460e920,452f8df,f6794a7
4611030,4531e7b,f678a19
4613740,4534417,f677f8a
4615e50,45369b2,f6774fa
4618560,4538f4e,f676a6a
461ac70,453b4e9,f675fda
461d380,453da85,f67554a
461fa90,4540020,f674ab9
46221a0,45425bb,f674027
46248b0,4544b56,f673596
4626fc0,45470f1,f672b04
46296d0,454968c,f672071
462bde0,454bc26,f6715df
462e4f0,454e1c1,f670b4c
4630c00,455075c,f6700b8
4633310,4552cf6,f66f624
4635a20,4555290,f66eb90
4638130,455782b,f66e0fc
463a840,4559dc5,f66d667
463cf50,455c35f,f66cbd2
463f660,455e8f9,f66c13c
4641d70,4560e92,f66b6a6
4644480,456342c,f66ac10
4646b90,45659c6,f66a179
46492a0,4567f5f,f6696e2
464b9b0,456a4f9,f668c4b
464e0c0,456ca92,f6681b3
46507d0,456f02b,f66771b
4652ee0,45715c4,f666c83
46555f0,4573b5d,f6661ea
4657d00,45760f6,f665751
465a410,457868f,f664cb7
465cb20,457ac28,f66421e
465f230,457d1c0,f663783
4661940,457f759,f662ce9
4664050,4581cf1,f66224e
4666760,458428a,f6617b3
4668e70,4586822,f660d17
466b580,4588dba,f66027b
466dc90,458b352,f65f7de
46703a0,458d8ea,f65ed42
4672ab0,458fe82,f65e2a5
46751c0,4592419,f65d807
46778d0,45949b1,f65cd69
4679fe0,4596f48,f65c2cb
467c6f0,45994e0,f65b82d
467ee00,459ba77,f65ad8e
4681510,459e00e,f65a2ef
4683c20,45a05a5,f65984f
4686330,45a2b3c,f658daf
4688a40,45a50d3,f65830f
468b150,45a766a,f65786e
468d860,45a9c01,f656dcd
468ff70,45ac197,f65632c
4692680,45ae72e,f65588a
4694d90,45b0cc4,f654de8
46974a0,45b325a,f654345
4699bb0,45b57f0,f6538a2
469c2c0,45b7d87,f652dff
469e9d0,45ba31d,f65235c
46a10e0,45bc8b2,f6518b8
46a37f0,45bee48,f650e14
46a5f00,45c13de,f65036f
46a8610,45c3973,f64f8ca
46aad20,45c5f09,f64ee25
46ad430,45c849e,f64e37f
46afb40,45caa33,f64d8d9
46b2250,45ccfc9,f64ce32
46b4960,45cf55e,f64c38c
46b7070,45d1af3,f64b8e5
46b9780,45d4087,f64ae3d
46bbe90,45d661c,f64a395
46be5a0,45d8bb1,f6498ed
46c0cb0,45db145,f648e44
46c33c0,45dd6da,f64839c
46c5ad0,45dfc6e,f6478f2
46c81e0,45e2202,f646e49
46ca8f0,45e4797,f64639f
46cd000,45e6d2b,f6458f4
46cf710,45e92bf,f644e4a
46d1e20,45eb852,f64439e
46d4530,45edde6,f6438f3
46d6c40,45f037a,f642e47
46d9350,45f290d,f64239b
46dba60,45f4ea1,f6418ef
46de170,45f7434,f640e42
46e0880,45f99c7,f640395
46e2f90,45fbf5a,f63f8e7
46e56a0,45fe4ed,f63ee39
46e7db0,4600a80,f63e38b
46ea4c0,4603013,f63d8dc
46ecbd0,46055a6,f63ce2d
46ef2e0,4607b39,f63c37e
46f19f0,460a0cb,f63b8ce
46f4100,460c65d,f63ae1e
46f6810,460ebf0,f63a36d
46f8f20,4611182,f6398bd
46fb630,4613714,f638e0b
46fdd40,4615ca6,f63835a
4700450,4618238,f6378a8
4702b60,461a7ca,f636df6
4705270,461cd5b,f636343
4707980,461f2ed,f635890
470a090,462187f,f634ddd
470c7a0,4623e10,f634329
470eeb0,46263a1,f633875
47115c0,4628932,f632dc1
4713cd0,462aec4,f63230c
47163e0,462d454,f631857
4718af0,462f9e5,f630da2
471b200,4631f76,f6302ec
471d910,4634507,f62f836
4720020,4636a97,f62ed7f
4722730,4639028,f62e2c8
4724e40,463b5b8,f62d811
4727550,463db49,f62cd59
4729c60,46400d9,f62c2a1
472c370,4642669,f62b7e9
472ea80,4644bf9,f62ad30
4731190,4647189,f62a277
47338a0,4649718,f6297be
4735fb0,464bca8,f628d04
47386c0,464e238,f62824a
473add0,46507c7,f62778f
473d4e0,4652d56,f626cd5
473fbf0,46552e6,f626219
4742300,4657875,f62575e
4744a10,4659e04,f624ca2
4747120,465c393,f6241e6
4749830,465e922,f623729
474bf40,4660eb0,f622c6c
474e650,466343f,f6221af
4750d60,46659cd,f6216f1
4753470,4667f5c,f620c33
4755b80,466a4ea,f620175
4758290,466ca78,f61f6b6
475a9a0,466f006,f61ebf7
475d0b0,4671595,f61e137
475f7c0,4673b22,f61d677
4761ed0,46760b0,f61cbb7
47645e0,467863e,f61c0f7
4766cf0,467abcc,f61b636
4769400,467d159,f61ab74
476bb10,467f6e6,f61a0b3
476e220,4681c74,f6195f1
4770930,4684201,f618b2e
4773040,468678e,f61806c
4775750,4688d1b,f6175a9
4777e60,468b2a8,f616ae5
477a570,468d835,f616021
477cc80,468fdc1,f61555d
477f390,469234e,f614a99
4781aa0,46948da,f613fd4
47841b0,4696e67,f61350f
47868c0,46993f3,f612a49
4788fd0,469b97f,f611f83
478b6e0,469df0b,f6114bd
478ddf0,46a0497,f6109f6
4790500,46a2a23,f60ff2f
4792c10,46a4faf,f60f468
4795320,46a753b,f60e9a0
4797a30,46a9ac6,f60ded8
479a140,46ac052,f60d40f
479c850,46ae5dd,f60c947
479ef60,46b0b68,f60be7e
47a1670,46b30f3,f60b3b4
47a3d80,46b567e,f60a8ea
47a6490,46b7c09,f609e20
47a8ba0,46ba194,f609355
47ab2b0,46bc71f,f60888a
47ad9c0,46beca9,f607dbf
47b00d0,46c1234,f6072f3
47b27e0,46c37be,f606827
47b4ef0,46c5d49,f605d5b
47b7600,46c82d3,f60528e
47b9d10,46ca85d,f6047c1
47bc420,46ccde7,f603cf4
47beb30,46cf371,f603226
47c1240,46d18fb,f602758
47c3950,46d3e84,f601c89
47c6060,46d640e,f6011ba
47c8770,46d8998,f6006eb
47cae80,46daf21,f5ffc1b
47cd590,46dd4aa,f5ff14b
47cfca0,46dfa33,f5fe67b
47d23b0,46e1fbc,f5fdbaa
47d4ac0,46e4545,f5fd0d9
47d71d0,46e6ace,f5fc608
47d98e0,46e9057,f5fbb36
47dbff0,46eb5e0,f5fb064
47de700,46edb68,f5fa592
47e0e10,46f00f1,f5f9abf
47e3520,46f2679,f5f8fec
47e5c30,46f4c01,f5f8518
47e8340,46f718a,f5f7a44
47eaa50,46f9712,f5f6f70
47ed160,46fbc9a,f5f649b
47ef870,46fe221,f5f59c6
47f1f80,47007a9,f5f4ef1
47f4690,4702d31,f5f441b
47f6da0,47052b8,f5f3945
47f94b0,4707840,f5f2e6f
47fbbc0,4709dc7,f5f2398
47fe2d0,470c34e,f5f18c1
48009e0,470e8d5,f5f0dea
48030f0,4710e5c,f5f0312
4805800,47133e3,f5ef83a
4807f10,471596a,f5eed61
480a620,4717ef1,f5ee288
480cd30,471a477,f5ed7af
480f440,471c9fe,f5eccd5
4811b50,471ef84,f5ec1fb
4814260,472150b,f5eb721
4816970,4723a91,f5eac46
4819080,4726017,f5ea16b
481b790,472859d,f5e9690
481dea0,472ab23,f5e8bb4
48205b0,472d0a8,f5e80d8
4822cc0,472f62e,f5e75fb
48253d0,4731bb4,f5e6b1e
4827ae0,4734139,f5e6041
482a1f0,47366bf,f5e5564
482c900,4738c44,f5e4a86
482f010,473b1c9,f5e3fa7
4831720,473d74e,f5e34c9
4833e30,473fcd3,f5e29ea
4836540,4742258,f5e1f0a
4838c50,47447dd,f5e142b
483b360,4746d61,f5e094b
483da70,47492e6,f5dfe6a
4840180,474b86a,f5df389
4842890,474ddee,f5de8a8
4844fa0,4750373,f5dddc7
48476b0,47528f7,f5dd2e5
4849dc0,4754e7b,f5dc803
484c4d0,47573ff,f5dbd20
484ebe0,4759982,f5db23d
48512f0,475bf06,f5da75a
4853a00,475e48a,f5d9c76
4856110,4760a0d,f5d9192
4858820,4762f91,f5d86ae
485af30,4765514,f5d7bc9
485d640,4767a97,f5d70e4
485fd50,476a01a,f5d65ff
4862460,476c59d,f5d5b19
4864b70,476eb20,f5d5033
4867280,47710a3,f5d454c
4869990,4773625,f5d3a65
486c0a0,4775ba8,f5d2f7e
486e7b0,477812a,f5d2497
4870ec0,477a6ad,f5d19af
48735d0,477cc2f,f5d0ec6
4875ce0,477f1b1,f5d03de
48783f0,4781733,f5cf8f5
487ab00,4783cb5,f5cee0b
487d210,4786237,f5ce322
487f920,47887b9,f5cd838
4882030,478ad3a,f5ccd4d
4884740,478d2bc,f5cc262
4886e50,478f83d,f5cb777
4889560,4791dbf,f5cac8c
488bc70,4794340,f5ca1a0
488e380,47968c1,f5c96b4
4890a90,4798e42,f5c8bc7
48931a0,479b3c3,f5c80da
48958b0,479d944,f5c75ed
4897fc0,479fec4,f5c6aff
489a6d0,47a2445,f5c6011
489cde0,47a49c5,f5c5523
489f4f0,47a6f46,f5c4a34
48a1c00,47a94c6,f5c3f45
48a4310,47aba46,f5c3455
48a6a20,47adfc6,f5c2966
48a9130,47b0546,f5c1e75
48ab840,47b2ac6,f5c1385
48adf50,47b5046,f5c0894
48b0660,47b75c5,f5bfda3
48b2d70,47b9b45,f5bf2b1
48b5480,47bc0c4,f5be7bf
48b7b90,47be644,f5bdccd
48ba2a0,47c0bc3,f5bd1da
48bc9b0,47c3142,f5bc6e7
48bf0c0,47c56c1,f5bbbf4
48c17d0,47c7c40,f5bb100
48c3ee0,47ca1bf,f5ba60c
48c65f0,47cc73d,f5b9b18
48c8d00,47cecbc,f5b9023
48cb410,47d123a,f5b852e
48cdb20,47d37b9,f5b7a38
48d0230,47d5d37,f5b6f42
48d2940,47d82b5,f5b644c
48d5050,47da833,f5b5955
48d7760,47dcdb1,f5b4e5e
48d9e70,47df32f,f5b4367
48dc580,47e18ad,f5b386f
48dec90,47e3e2b,f5b2d77
48e13a0,47e63a8,f5b227f
48e3ab0,47e8926,f5b1786
48e61c0,47eaea3,f5b0c8d
48e88d0,47ed420,f5b0194
48eafe0,47ef99d,f5af69a
48ed6f0,47f1f1a,f5aeba0
48efe00,47f4497,f5ae0a5
48f2510,47f6a14,f5ad5aa
48f4c20,47f8f91,f5acaaf
48f7330,47fb50d,f5abfb3
48f9a40,47fda8a,f5ab4b7
48fc150,4800006,f5aa9bb
48fe860,4802583,f5a9ebe
4900f70,4804aff,f5a93c1
4903680,480707b,f5a88c4
4905d90,48095f7,f5a7dc6
49084a0,480bb73,f5a72c8
490abb0,480e0ee,f5a67ca
490d2c0,481066a,f5a5ccb
490f9d0,4812be6,f5a51cc
49120e0,4815161,f5a46cc
49147f0,48176dc,f5a3bcc
4916f00,4819c58,f5a30cc
4919610,481c1d3,f5a25cb
491bd20,481e74e,f5a1aca
491e430,4820cc9,f5a0fc9
4920b40,4823244,f5a04c7
4923250,48257be,f59f9c5
4925960,4827d39,f59eec3
4928070,482a2b4,f59e3c0
492a780,482c82e,f59d8bd
492ce90,482eda8,f59cdba
492f5a0,4831322,f59c2b6
4931cb0,483389c,f59b7b2
49343c0,4835e16,f59acad
4936ad0,4838390,f59a1a8
49391e0,483a90a,f5996a3
493b8f0,483ce84,f598b9d
493e000,483f3fd,f598097
4940710,4841977,f597591
4942e20,4843ef0,f596a8a
4945530,4846469,f595f83
4947c40,48489e3,f59547c
494a350,484af5c,f594974
494ca60,484d4d5,f593e6c
494f170,484fa4d,f593363
4951880,4851fc6,f59285b
4953f90,485453f,f591d51
49566a0,4856ab7,f591248
4958db0,4859030,f59073e
495b4c0,485b5a8,f58fc34
495dbd0,485db20,f58f129
49602e0,4860098,f58e61e
49629f0,4862610,f58db13
4965100,4864b88,f58d007
4967810,4867100,f58c4fb
4969f20,4869678,f58b9ef
496c630,486bbef,f58aee2
496ed40,486e167,f58a3d5
4971450,48706de,f5898c7
4973b60,4872c55,f588db9
4976270,48751cc,f5882ab
4978980,4877743,f58779d
497b090,4879cba,f586c8e
497d7a0,487c231,f58617f
497feb0,487e7a8,f58566f
49825c0,4880d1e,f584b5f
4984cd0,4883295,f58404f
49873e0,488580b,f58353e
4989af0,4887d82,f582a2d
498c200,488a2f8,f581f1b
498e910,488c86e,f58140a
4991020,488ede4,f5808f8
4993730,489135a,f57fde5
4995e40,48938d0,f57f2d2
4998550,4895e45,f57e7bf
499ac60,48983bb,f57dcac
499d370,489a930,f57d198
499fa80,489cea6,f57c683
49a2190,489f41b,f57bb6f
49a48a0,48a1990,f57b05a
49a6fb0,48a3f05,f57a544
49a96c0,48a647a,f579a2f
49abdd0,48a89ef,f578f19
49ae4e0,48aaf63,f578402
49b0bf0,48ad4d8,f5778eb
49b3300,48afa4d,f576dd4
49b5a10,48b1fc1,f5762bd
49b8120,48b4535,f5757a5
49ba830,48b6aa9,f574c8d
49bcf40,48b901e,f574174
49bf650,48bb591,f57365b
49c1d60,48bdb05,f572b42
49c4470,48c0079,f572029
49c6b80,48c25ed,f57150f
49c9290,48c4b60,f5709f4
49cb9a0,48c70d4,f56fed9
49ce0b0,48c9647,f56f3be
49d07c0,48cbbba,f56e8a3
49d2ed0,48ce12d,f56dd87
49d55e0,48d06a0,f56d26b
49d7cf0,48d2c13,f56c74f
49da400,48d5186,f56bc32
49dcb10,48d76f9,f56b115
49df220,48d9c6c,f56a5f7
49e1930,48dc1de,f569ad9
49e4040,48de750,f568fbb
49e6750,48e0cc3,f56849c
49e8e60,48e3235,f56797d
49eb570,48e57a7,f566e5e
49edc80,48e7d19,f56633e
49f0390,48ea28b,f56581e
49f2aa0,48ec7fc,f564cfe
49f51b0,48eed6e,f5641dd
49f78c0,48f12e0,f5636bc
49f9fd0,48f3851,f562b9a
49fc6e0,48f5dc2,f562079
49fedf0,48f8334,f561556
4a01500,48fa8a5,f560a34
4a03c10,48fce16,f55ff11
4a06320,48ff387,f55f3ee
4a08a30,49018f7,f55e8ca
4a0b140,4903e68,f55dda6
4a0d850,49063d9,f55d282
4a0ff60,4908949,f55c75d
4a12670,490aeba,f55bc38
4a14d80,490d42a,f55b113
4a17490,490f99a,f55a5ed
4a19ba0,4911f0a,f559ac7
4a1c2b0,491447a,f558fa0
4a1e9c0,49169ea,f558479
4a210d0,4918f59,f557952
4a237e0,491b4c9,f556e2b
4a25ef0,491da39,f556303
4a28600,491ffa8,f5557da
4a2ad10,4922517,f554cb2
4a2d420,4924a87,f554189
4a2fb30,4926ff6,f553660
4a32240,4929565,f552b36
4a34950,492bad4,f55200c
4a37060,492e042,f5514e1
4a39770,49305b1,f5509b7
4a3be80,4932b20,f54fe8c
4a3e590,493508e,f54f360
4a40ca0,49375fc,f54e834
4a433b0,4939b6b,f54dd08
4a45ac0,493c0d9,f54d1db
4a481d0,493e647,f54c6af
4a4a8e0,4940bb5,f54bb81
4a4cff0,4943122,f54b054
4a4f700,4945690,f54a526
4a51e10,4947bfe,f5499f7
4a54520,494a16b,f548ec9
4a56c30,494c6d9,f54839a
4a59340,494ec46,f54786a
4a5ba50,49511b3,f546d3a
4a5e160,4953720,f54620a
4a60870,4955c8d,f5456da
